Huliraya,2017,135 min,7.3,Drama            ,kannada
Swaathi Mutthu,2003,159 min,7.1,"Drama, Family            ",kannada
Karmika Kallanalla,1982,155 min,6.7,Action            ,kannada
Girgitle,2019,148 min,6.4,"Action, Comedy            ",kannada
Aa Eradu Varshagalu,2017,126 min,8,"Drama, Romance            ",kannada
Goa,2015,131 min,4.5,"Comedy, Drama, Romance            ",kannada
Madamakki,2016,110 min,5.5,"Action, Thriller            ",kannada
Rajaratha,2018,139 min,5.1,"Action, Adventure, Comedy            ",kannada
Ranadheera,1988,153 min,6.9,"Action, Drama, Romance            ",kannada
Sanju Weds Geetha,2011,135 min,6.2,"Drama, Romance            ",kannada
Ring Road,2015,163 min,5.6,"Drama, Thriller            ",kannada
i1,2019,120 min,8.9,Drama            ,kannada
Raajakumara,2017,148 min,8,"Action, Drama            ",kannada
Jeerjimbe,2018,126 min,6.9,"Drama, Family            ",kannada
Yaare Koogadali,2012,138 min,7.1,"Action, Thriller            ",kannada
Mr. Airavata,2015,157 min,5.4,Action            ,kannada
Babru,2019,124 min,6.7,Thriller            ,kannada
Putaani Party,2009,78 min,7,"Drama, Family            ",kannada
Bhakta Prahlada,1983,148 min,7.5,"Drama, History            ",kannada
Siddhartha,2015,149 min,6.5,"Comedy, Drama, Romance            ",kannada
Kiccha,2003,154 min,6.7,"Drama, Romance            ",kannada
Chaitrada Premanjali,1992,159 min,7.2,Romance            ,kannada
Kaavala,2011,106 min,7.5,"Drama, Thriller            ",kannada
Encounter Dayanayak,2005,145 min,5.8,"Action, Crime, Drama            ",kannada
Deepavali,1960,130 min,7.4,"Drama, Musical            ",kannada
Sipayi,1996,139 min,7.8,Romance            ,kannada
Cheluvi,1992,102 min,7.6,Drama            ,kannada
D/O Parvathamma,2019,110 min,5.8,Action            ,kannada
Chiru,2010,139 min,5.7,"Comedy, Drama            ",kannada
Adhyaksha,2014,147 min,7.5,"Comedy, Drama, Romance            ",kannada
Krishnatulasi,2018,134 min,7.5,"Comedy, Drama, Romance            ",kannada
Paduvarahalli Pandavaru,1978,146 min,8,Drama            ,kannada
Saheba,2017,141 min,6.6,"Action, Drama            ",kannada
Kataka,2017,107 min,7.6,"Horror, Thriller            ",kannada
Bhoomigeetha: Song of the Earth,1997,155 min,7.6,Drama            ,kannada
My Name Is Raja,2020,122 min,7,"Action, Horror, Romance            ",kannada
Law,2020,124 min,5.6,Thriller            ,kannada
Laddu,2021,127 min,8.6,"Comedy, Romance            ",kannada
Shiva 143,2020,126 min,4.6,Drama            ,kannada
Sahasa Simha,1982,174 min,8,"Crime, Thriller            ",kannada
Yajamana,2019,164 min,6.7,Action            ,kannada
Baalu Belagithu,1970,165 min,8.1,Musical            ,kannada
Simhadriya Simha,2002,157 min,8.5,"Action, Drama            ",kannada
Darmapura,2019,122 min,7.7,Drama            ,kannada
Kotigobba 2,2016,162 min,6.6,"Action, Drama, Thriller            ",kannada
Agni IPS,1997,137 min,7.9,Action            ,kannada
Kashi from Village,2005,143 min,6.5,"Action, Drama            ",kannada
Kariya 2,2017,124 min,7.1,"Action, Romance, Thriller            ",kannada
Kempirve,2017,130 min,7.3,Drama            ,kannada
Ondh Kathe Hella,2019,127 min,6.2,Thriller            ,kannada
Minchina Ota,2008,138 min,4.9,Thriller            ,kannada
Naanu Avanalla... Avalu,2015,115 min,8.4,Drama            ,kannada
Dharani Mandala Madhyadolage,1983,146 min,7.4,Drama            ,kannada
Pancharangi,2010,123 min,7.3,Drama            ,kannada
Nathicharami,2018,113 min,7.2,Drama            ,kannada
Randhawa,2019,130 min,9.1,Drama            ,kannada
Bhootayyana Maga Ayyu,1974,155 min,8.3,Drama            ,kannada
Ninnindale,2014,160 min,4.9,"Comedy, Drama, Romance            ",kannada
Bul Bul,2013,160 min,6.8,Drama            ,kannada
Guru Shishyaru,1981,148 min,7.7,Comedy            ,kannada
Tagaru,2018,129 min,7.9,"Action, Crime            ",kannada
Dandupalya 2,2017,102 min,5.3,Crime            ,kannada
Tabarana Kathe,1986,179 min,8,Drama            ,kannada
Mathad Mathadu Mallige,2007,130 min,7.2,Drama            ,kannada
Dandupalya,2012,132 min,6.8,Crime            ,kannada
Hosamane Aliya,1991,117 min,5.9,Comedy            ,kannada
Dhwaja,2018,149 min,6.3,"Action, Drama, Thriller            ",kannada
Krishna,2007,124 min,6.4,"Drama, Romance            ",kannada
Chigurida Kanasu,2003,154 min,8.5,Drama            ,kannada
Kariya,2003,144 min,8.9,"Action, Crime, Romance            ",kannada
Sakshatkara,1971,150 min,8.3,Drama            ,kannada
Addhuri,2012,131 min,6.6,Romance            ,kannada
Dana Kayonu,2016,149 min,7.2,"Drama, Romance            ",kannada
Smile Please,2017,124 min,6.9,"Comedy, Family            ",kannada
Yaanaa,2019,158 min,5.2,Drama            ,kannada
Bedara Kannappa,1954,155 min,8.2,Drama            ,kannada
*121#,2018,128 min,7.6,Thriller            ,kannada
Byari,2011,100 min,7.6,Drama            ,kannada
Ambi Ning Vysaitho,2018,125 min,6.3,"Action, Drama, Romance            ",kannada
Kataariveera Surasundaraangi,2012,133 min,5.6,"Comedy, Drama, Fantasy            ",kannada
Prema Geema Jane Do,2016,119 min,7.7,"Comedy, Drama, Romance            ",kannada
Geetha,2019,148 min,6.1,"Drama, Romance            ",kannada
Savarna deergha sandhi,2019,131 min,8,Family            ,kannada
Abhinetri,2015,153 min,4.2,Biography            ,kannada
Jaanu,2012,135 min,6,"Action, Drama, Romance            ",kannada
Chowka,2017,178 min,8.2,"Drama, Romance            ",kannada
Javaa,2018,105 min,6.5,Thriller            ,kannada
